File,GT_Class,SVM_Pred,V2_1D_Pred,IsCorrect_SVM,IsCorrect_V2
sample_0025.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0026.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0027.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0028.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0029.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0030.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0031.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0032.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0033.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0034.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0035.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0036.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0037.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0038.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0039.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0040.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0041.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0042.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0043.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0044.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0045.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0046.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0047.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0048.json,closed_fist,closed_fist,CLOSED_FIST,Yes,No
sample_0001.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0002.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0003.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0004.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0005.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0006.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0007.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0008.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0009.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0010.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0011.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0012.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0013.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0014.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0015.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0016.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0017.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0018.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0019.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0020.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0021.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0022.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0023.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0024.json,open_palm,open_palm,OPEN_PALM,Yes,No
sample_0115.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0116.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0117.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0118.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0119.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0120.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0121.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0122.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0123.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0124.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0125.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0126.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0127.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0128.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0129.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0130.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0131.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0132.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0133.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0134.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0135.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0136.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0137.json,palm_down,palm_down,PALM_DOWN,Yes,No
sample_0138.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0139.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0140.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0141.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0142.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0143.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0144.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0145.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0146.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0147.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0148.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0149.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0150.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0151.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0152.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0153.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0154.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0155.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0156.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0157.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0158.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0159.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0160.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0161.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0162.json,palm_left,palm_left,PALM_LEFT,Yes,No
sample_0163.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0164.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0165.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0166.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0167.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0168.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0169.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0170.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0171.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0172.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0173.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0174.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0175.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0176.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0177.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0178.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0179.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0180.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0181.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0182.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0183.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0184.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0185.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0186.json,palm_right,palm_right,PALM_RIGHT,Yes,No
sample_0095.json,palm_up,palm_up,PALM_UP,Yes,No
sample_0096.json,palm_up,palm_up,PALM_UP,Yes,No
sample_0097.json,palm_up,palm_up,PALM_UP,Yes,No
sample_0098.json,palm_up,palm_up,PALM_UP,Yes,No
sample_0099.json,palm_up,palm_up,PALM_UP,Yes,No
sample_0100.json,palm_up,palm_up,PALM_UP,Yes,No
